Make,Price,Mileage,Cylinder,Liter,Cruise,Sound,Leather
Chevrolet," 15,635.80 "," 1,169 ",4,2.2,0,1,1
Chevrolet," 15,747.80 "," 6,048 ",4,2.2,0,1,1
Chevrolet," 14,619.08 "," 15,768 ",4,2.2,1,1,1
Chevrolet," 14,185.02 "," 20,374 ",4,2.2,0,1,1
Chevrolet," 13,699.04 "," 25,845 ",4,2.2,1,1,1
Chevrolet," 13,310.06 "," 26,143 ",4,2.2,1,1,1
Chevrolet," 13,530.07 "," 27,249 ",4,2.2,1,1,1
Chevrolet," 13,019.07 "," 27,942 ",4,2.2,1,1,1
Chevrolet," 12,684.99 "," 29,891 ",4,2.2,1,1,1
Chevrolet," 12,553.07 "," 32,844 ",4,2.2,1,1,1
Chevrolet," 14,997.88 "," 8,880 ",4,2.2,0,1,1
Chevrolet," 14,847.04 "," 12,980 ",4,2.2,0,1,1
Chevrolet," 15,128.99 "," 13,828 ",4,2.2,1,1,1
Chevrolet," 15,000.99 "," 14,504 ",4,2.2,0,1,1
Chevrolet," 14,593.85 "," 18,790 ",4,2.2,0,1,1
Chevrolet," 14,304.74 "," 21,128 ",4,2.2,0,1,1
Chevrolet," 13,688.95 "," 21,611 ",4,2.2,1,1,1
Chevrolet," 13,744.85 "," 23,748 ",4,2.2,0,1,1
Chevrolet," 13,545.03 "," 27,431 ",4,2.2,0,1,1
Chevrolet," 12,741.19 "," 34,815 ",4,2.2,0,1,1
Chevrolet," 16,116.84 ", 865 ,4,2.2,1,1,1
Chevrolet," 16,428.58 "," 9,882 ",4,2.2,0,1,1
Chevrolet," 15,084.82 "," 14,824 ",4,2.2,1,1,1
Chevrolet," 15,163.17 "," 17,158 ",4,2.2,1,1,1
Chevrolet," 14,897.04 "," 18,210 ",4,2.2,1,1,1
Chevrolet," 14,508.75 "," 18,910 ",4,2.2,0,1,1
Chevrolet," 14,418.17 "," 19,818 ",4,2.2,0,1,1
Chevrolet," 14,191.88 "," 21,181 ",4,2.2,1,1,1
Chevrolet," 14,401.91 "," 21,527 ",4,2.2,0,1,1
Chevrolet," 14,175.88 "," 21,627 ",4,2.2,0,1,1
Chevrolet," 14,429.79 "," 6,114 ",4,2.2,1,1,1
Chevrolet," 14,696.03 "," 6,709 ",4,2.2,1,1,1
Chevrolet," 14,582.77 "," 7,115 ",4,2.2,1,1,1
Chevrolet," 14,194.82 "," 9,561 ",4,2.2,0,1,1
Chevrolet," 14,072.14 "," 15,233 ",4,2.2,0,1,1
Chevrolet," 13,994.91 "," 17,270 ",4,2.2,0,1,1
Chevrolet," 13,830.25 "," 17,594 ",4,2.2,0,1,1
Chevrolet," 13,159.82 "," 22,740 ",4,2.2,1,1,1
Chevrolet," 12,495.97 "," 26,204 ",4,2.2,0,1,1
Chevrolet," 12,678.85 "," 28,683 ",4,2.2,0,1,1
Chevrolet," 46,732.61 "," 3,625 ",8,6,1,1,1
Chevrolet," 47,065.21 "," 5,239 ",8,6,1,1,1
Chevrolet," 44,749.69 "," 12,115 ",8,6,1,0,1
Chevrolet," 42,773.03 "," 14,546 ",8,6,1,1,1
Chevrolet," 41,371.38 "," 20,000 ",8,6,1,0,1
Chevrolet," 39,547.59 "," 23,826 ",8,6,1,1,1
Chevrolet," 39,691.73 "," 25,169 ",8,6,1,1,1
Chevrolet," 38,824.87 "," 25,960 ",8,6,1,0,1
Chevrolet," 36,970.90 "," 30,502 ",8,6,1,1,1
Chevrolet," 37,288.94 "," 32,039 ",8,6,1,1,1
Chevrolet," 39,875.85 "," 7,054 ",8,6,1,0,1
Chevrolet," 39,713.67 "," 8,967 ",8,6,1,1,1
Chevrolet," 38,990.61 "," 9,410 ",8,6,1,1,1
Chevrolet," 39,092.19 "," 10,717 ",8,6,1,1,1
Chevrolet," 39,365.88 "," 11,619 ",8,6,1,1,1
Chevrolet," 35,261.44 "," 21,350 ",8,6,1,1,1
Chevrolet," 35,575.42 "," 22,740 ",8,6,1,0,1
Chevrolet," 34,297.31 "," 24,259 ",8,6,1,0,1
Chevrolet," 34,739.21 "," 25,747 ",8,6,1,0,1
Chevrolet," 31,186.74 "," 34,191 ",8,6,1,0,1
Chevrolet," 21,757.05 "," 1,853 ",6,3.8,1,0,0
Chevrolet," 19,528.10 "," 14,115 ",6,3.8,1,1,0
Chevrolet," 19,075.68 "," 18,198 ",6,3.8,1,0,1
Chevrolet," 19,409.75 "," 18,795 ",6,3.8,1,1,1
Chevrolet," 18,527.21 "," 19,874 ",6,3.8,1,1,0
Chevrolet," 18,912.98 "," 21,512 ",6,3.8,1,1,0
Chevrolet," 17,839.80 "," 25,453 ",6,3.8,1,0,1
Chevrolet," 17,789.35 "," 26,980 ",6,3.8,1,1,0
Chevrolet," 17,294.18 "," 29,368 ",6,3.8,1,1,0
Chevrolet," 18,083.40 "," 29,420 ",6,3.8,1,1,1
Chevrolet," 20,021.20 "," 1,787 ",6,3.8,1,0,0
Chevrolet," 18,835.19 "," 8,211 ",6,3.8,1,0,1
Chevrolet," 18,727.51 "," 14,054 ",6,3.8,1,1,1
Chevrolet," 16,805.06 "," 19,498 ",6,3.8,1,0,0
Chevrolet," 17,154.58 "," 21,567 ",6,3.8,1,0,1
Chevrolet," 16,644.09 "," 22,383 ",6,3.8,1,1,1
Chevrolet," 15,951.81 "," 26,070 ",6,3.8,1,1,1
Chevrolet," 16,508.59 "," 27,460 ",6,3.8,1,1,1
Chevrolet," 15,832.52 "," 31,202 ",6,3.8,1,1,1
Chevrolet," 15,554.28 "," 33,357 ",6,3.8,1,1,1
Chevrolet," 25,948.96 ", 636 ,6,3.8,1,0,0
Chevrolet," 27,714.05 "," 5,379 ",6,3.8,1,1,0
Chevrolet," 25,097.47 "," 14,461 ",6,3.8,1,1,1
Chevrolet," 24,809.04 "," 16,111 ",6,3.8,1,0,0
Chevrolet," 23,345.33 "," 22,964 ",6,3.8,1,1,1
Chevrolet," 22,894.44 "," 26,272 ",6,3.8,1,1,1
Chevrolet," 22,064.29 "," 27,384 ",6,3.8,1,1,1
Chevrolet," 23,151.55 "," 27,940 ",6,3.8,1,0,0
Chevrolet," 22,120.76 "," 28,242 ",6,3.8,1,1,1
Chevrolet," 20,294.58 "," 33,892 ",6,3.8,1,0,0
Chevrolet," 18,957.89 "," 5,936 ",6,3.5,0,1,1
Chevrolet," 18,950.91 "," 8,687 ",6,3.5,0,1,1
Chevrolet," 17,891.63 "," 17,020 ",6,3.5,0,1,1
Chevrolet," 17,801.23 "," 19,386 ",6,3.5,1,1,1
Chevrolet," 16,723.99 "," 19,740 ",6,3.5,1,1,1
Chevrolet," 16,744.03 "," 21,829 ",6,3.5,0,1,1
Chevrolet," 16,825.19 "," 23,460 ",6,3.5,0,1,1
Chevrolet," 16,543.98 "," 24,583 ",6,3.5,0,1,1
Chevrolet," 16,143.96 "," 26,532 ",6,3.5,1,1,1
Chevrolet," 14,914.20 "," 33,906 ",6,3.5,0,1,1
Chevrolet," 19,164.61 "," 1,480 ",6,3.5,1,1,1
Chevrolet," 18,800.96 "," 7,961 ",6,3.5,0,1,1
Chevrolet," 17,458.22 "," 15,144 ",6,3.5,1,1,1
Chevrolet," 17,158.92 "," 21,417 ",6,3.5,0,1,1
Chevrolet," 16,472.90 "," 21,675 ",6,3.5,1,1,1
Chevrolet," 16,993.78 "," 23,621 ",6,3.5,0,1,1
Chevrolet," 16,300.47 "," 25,697 ",6,3.5,1,1,1
Chevrolet," 15,623.20 "," 27,476 ",6,3.5,0,1,1
Chevrolet," 15,138.40 "," 32,462 ",6,3.5,0,1,1
Chevrolet," 15,233.16 "," 32,535 ",6,3.5,0,1,1
Chevrolet," 19,471.97 "," 6,608 ",6,3.5,1,1,1
Chevrolet," 18,009.85 "," 15,190 ",6,3.5,0,1,1
Chevrolet," 18,273.01 "," 16,335 ",6,3.5,0,1,1
Chevrolet," 18,311.76 "," 17,441 ",6,3.5,0,1,1
Chevrolet," 17,553.75 "," 18,451 ",6,3.5,0,1,1
Chevrolet," 18,004.87 "," 18,771 ",6,3.5,0,1,1
Chevrolet," 17,663.22 "," 19,490 ",6,3.5,1,1,1
Chevrolet," 17,115.12 "," 24,461 ",6,3.5,0,1,1
Chevrolet," 16,988.30 "," 24,905 ",6,3.5,1,1,1
Chevrolet," 16,803.12 "," 25,874 ",6,3.5,1,1,1
Chevrolet," 19,446.88 ", 932 ,6,3.5,0,1,1
Chevrolet," 17,119.46 "," 18,277 ",6,3.5,1,1,1
Chevrolet," 17,316.10 "," 19,593 ",6,3.5,1,1,1
Chevrolet," 16,860.87 "," 19,883 ",6,3.5,1,1,1
Chevrolet," 17,312.91 "," 21,420 ",6,3.5,1,1,1
Chevrolet," 16,403.25 "," 23,133 ",6,3.5,1,1,1
Chevrolet," 16,536.74 "," 24,218 ",6,3.5,1,1,1
Chevrolet," 16,341.80 "," 25,394 ",6,3.5,0,1,1
Chevrolet," 16,713.98 "," 26,328 ",6,3.5,1,1,1
Chevrolet," 16,295.21 "," 28,239 ",6,3.5,0,1,1
Chevrolet," 18,974.92 "," 5,632 ",6,3.5,0,1,1
Chevrolet," 18,324.83 "," 7,397 ",6,3.5,1,1,1
Chevrolet," 19,581.23 "," 7,645 ",6,3.5,0,1,1
Chevrolet," 18,169.38 "," 14,754 ",6,3.5,0,1,1
Chevrolet," 17,986.22 "," 17,488 ",6,3.5,0,1,1
Chevrolet," 17,173.94 "," 18,721 ",6,3.5,0,1,1
Chevrolet," 16,456.97 "," 20,200 ",6,3.5,0,1,1
Chevrolet," 16,267.09 "," 21,452 ",6,3.5,0,1,1
Chevrolet," 16,860.09 "," 22,841 ",6,3.5,1,1,1
Chevrolet," 16,027.29 "," 22,889 ",6,3.5,0,1,1
Chevrolet," 17,089.92 "," 8,732 ",6,3.5,0,1,1
Chevrolet," 17,463.05 "," 11,393 ",6,3.5,1,1,1
Chevrolet," 17,218.69 "," 14,579 ",6,3.5,1,1,1
Chevrolet," 17,162.48 "," 15,903 ",6,3.5,0,1,1
Chevrolet," 16,507.07 "," 17,451 ",6,3.5,0,1,1
Chevrolet," 16,752.51 "," 18,562 ",6,3.5,1,1,1
Chevrolet," 16,646.77 "," 20,154 ",6,3.5,0,1,1
Chevrolet," 15,623.92 "," 21,272 ",6,3.5,1,1,1
Chevrolet," 15,664.62 "," 25,787 ",6,3.5,1,1,1
Chevrolet," 15,680.86 "," 25,956 ",6,3.5,0,1,1
Chevrolet," 18,800.09 "," 5,827 ",6,3.8,1,0,0
Chevrolet," 18,910.80 "," 8,345 ",6,3.8,1,0,1
Chevrolet," 19,177.41 "," 10,414 ",6,3.8,1,1,0
Chevrolet," 18,040.14 "," 11,647 ",6,3.8,1,0,1
Chevrolet," 17,685.20 "," 15,898 ",6,3.8,1,0,0
Chevrolet," 17,515.40 "," 18,602 ",6,3.8,1,0,0
Chevrolet," 16,357.99 "," 23,491 ",6,3.8,1,1,0
Chevrolet," 16,345.94 "," 25,931 ",6,3.8,1,1,0
Chevrolet," 15,797.20 "," 26,700 ",6,3.8,1,1,0
Chevrolet," 15,503.51 "," 33,345 ",6,3.8,1,0,0
Chevrolet," 21,745.03 "," 7,065 ",6,3.8,1,1,0
Chevrolet," 21,725.01 "," 13,457 ",6,3.8,1,1,0
Chevrolet," 22,384.12 "," 14,788 ",6,3.8,1,1,1
Chevrolet," 20,537.14 "," 16,950 ",6,3.8,1,0,0
Chevrolet," 21,233.91 "," 17,337 ",6,3.8,1,1,1
Chevrolet," 20,676.17 "," 18,021 ",6,3.8,1,0,1
Chevrolet," 20,839.15 "," 22,152 ",6,3.8,1,1,1
Chevrolet," 20,017.97 "," 22,729 ",6,3.8,1,0,0
Chevrolet," 18,876.87 "," 27,218 ",6,3.8,1,1,0
Chevrolet," 17,586.93 "," 39,049 ",6,3.8,1,0,1
Chevrolet," 23,573.82 "," 12,466 ",6,3.8,1,1,0
Chevrolet," 23,527.73 "," 14,948 ",6,3.8,1,1,0
Chevrolet," 22,113.63 "," 21,992 ",6,3.8,1,1,0
Chevrolet," 22,470.36 "," 22,626 ",6,3.8,1,1,0
Chevrolet," 20,619.11 "," 24,067 ",6,3.8,1,0,0
Chevrolet," 20,047.95 "," 24,665 ",6,3.8,1,1,0
Chevrolet," 21,525.34 "," 25,020 ",6,3.8,1,1,1
Chevrolet," 20,382.15 "," 25,240 ",6,3.8,1,1,1
Chevrolet," 21,020.84 "," 25,550 ",6,3.8,1,1,1
Chevrolet," 20,221.81 "," 26,223 ",6,3.8,1,1,1
Pontiac," 25,452.47 "," 11,892 ",8,4.6,1,0,1
Pontiac," 23,449.31 "," 17,273 ",8,4.6,1,0,1
Pontiac," 23,578.16 "," 19,148 ",8,4.6,1,0,1
Pontiac," 22,525.27 "," 19,521 ",8,4.6,1,1,1
Pontiac," 21,982.65 "," 20,472 ",8,4.6,1,1,1
Pontiac," 22,231.56 "," 21,929 ",8,4.6,1,1,1
Pontiac," 22,189.12 "," 25,651 ",8,4.6,1,0,1
Pontiac," 21,765.07 "," 25,794 ",8,4.6,1,0,1
Pontiac," 21,403.76 "," 27,168 ",8,4.6,1,0,1
Pontiac," 21,200.69 "," 31,197 ",8,4.6,1,1,1
Pontiac," 19,682.04 "," 11,554 ",6,3.8,1,0,1
Pontiac," 18,678.41 "," 16,496 ",6,3.8,1,1,0
Pontiac," 20,318.89 "," 17,583 ",6,3.8,1,1,0
Pontiac," 20,127.04 "," 18,419 ",6,3.8,1,1,1
Pontiac," 19,751.04 "," 20,510 ",6,3.8,1,0,1
Pontiac," 17,844.73 "," 21,121 ",6,3.8,1,1,0
